Season,Teams,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,360,30.1,24.1,58.8,40.9,6.0,19.2,31.2,11.8,16.5,71.2,36.6,13.2,7.8,3.1,15.8,16.7,65.9
2022-23,361,31.4,23.8,58.5,40.6,6.0,19.1,31.2,11.9,16.8,70.9,36.6,13.0,7.7,3.1,15.8,16.9,65.5
2021-22,356,30.1,23.7,58.7,40.3,5.9,19.0,31.0,11.4,16.1,70.6,32.9,13.0,7.8,3.2,15.0,16.3,64.6
2020-21,343,21.9,23.9,59.1,40.5,6.1,19.5,31.5,11.7,16.7,70.1,33.3,13.1,7.7,3.2,15.0,16.8,65.7
2019-20,351,30.2,23.8,59.3,40.1,6.0,19.0,31.5,11.7,16.9,69.3,33.5,13.1,7.8,3.3,15.2,16.9,65.3
2018-19,349,31.5,23.8,59.0,40.3,6.0,19.1,31.6,11.8,17.0,69.3,37.5,13.3,7.8,3.2,15.8,17.3,65.4
2017-18,349,31.5,24.0,59.1,40.5,6.0,18.8,32.0,12.0,17.1,70.0,37.5,13.5,7.8,3.4,15.7,17.1,65.9
2016-17,345,31.5,23.8,59.1,40.1,5.8,18.3,31.8,12.0,17.3,69.5,37.8,13.3,7.8,3.4,15.7,17.5,65.3
2015-16,344,31.4,23.5,58.9,39.9,5.3,16.8,31.5,12.5,18.1,68.9,38.5,13.0,7.8,3.5,16.1,17.5,64.8
2014-15,343,31.4,23.6,59.0,39.9,5.3,16.8,31.5,12.5,18.2,68.9,38.6,13.0,7.8,3.5,16.1,17.6,65.0
2013-14,343,31.0,24.1,59.6,40.5,5.4,17.1,31.6,14.0,20.2,69.3,38.9,13.4,7.5,3.2,15.9,18.7,67.7
2012-13,343,31.4,22.6,58.1,38.9,5.0,16.2,30.6,11.9,17.3,69.0,38.4,12.8,8.6,3.4,16.9,16.1,62.1
2011-12,336,31.3,22.6,58.0,39.0,4.9,15.8,30.7,12.4,18.0,68.9,38.4,12.6,8.7,3.4,17.2,16.4,62.5
2010-11,333,31.3,22.9,57.9,39.6,5.3,16.6,31.7,12.7,18.5,68.8,38.1,12.9,8.5,3.3,17.6,17.0,63.8
2009-10,332,31.2,22.9,57.6,39.7,5.2,16.2,31.9,12.8,18.6,68.6,38.0,12.8,8.4,3.3,17.8,17.2,63.8
2008-09,328,31.1,22.8,57.4,39.7,4.9,15.5,31.9,12.6,18.3,68.8,37.8,12.7,8.3,3.2,17.7,17.1,63.1
2007-08,326,31.2,23.3,57.9,40.2,5.0,15.4,32.0,12.7,18.4,68.9,37.8,13.2,8.4,3.2,17.9,17.2,64.2
2006-07,324,30.9,23.3,57.8,40.3,4.7,14.9,31.6,13.1,18.9,69.0,37.8,13.2,8.5,3.2,17.8,17.6,64.4
2005-06,324,30.0,23.3,57.8,40.4,4.8,15.0,32.2,13.0,18.9,68.5,37.7,13.5,8.6,3.2,17.6,17.6,64.5
2004-05,324,29.3,23.0,57.6,39.9,4.7,14.9,31.7,12.6,18.3,68.5,37.7,13.5,9.0,3.2,18.0,17.1,63.3
2003-04,324,29.2,23.3,57.6,40.5,4.8,15.0,32.0,13.0,18.9,68.6,37.5,13.7,8.9,3.0,18.0,17.7,64.4
2002-03,321,29.2,23.7,58.2,40.8,4.8,14.8,32.3,13.1,19.0,69.0,37.7,13.9,9.0,3.0,18.5,17.7,65.3
2001-02,319,29.3,24.1,59.0,40.8,4.7,14.6,32.0,13.5,19.8,68.5,38.4,14.1,9.1,3.0,18.9,17.9,66.4
2000-01,,29.2,24.0,58.4,41.1,4.5,14.0,32.2,14.5,21.2,68.4,,,,,,,67.2
1999-00,,28.3,24.3,59.2,41.0,4.4,13.8,32.0,13.9,20.5,67.8,,,,,,,66.8
1998-99,,27.9,24.5,58.9,41.6,4.2,13.3,31.4,14.5,21.5,67.6,,,,,,,67.7
1997-98,,28.3,24.6,59.0,41.6,4.0,12.7,31.4,14.9,22.1,67.1,,,,,,,67.9
1996-97,,28.1,24.5,59.5,41.2,3.9,12.5,31.1,14.2,21.4,66.4,,,,,,,67.1
1995-96,,28.2,25.2,60.8,41.4,3.8,12.3,30.8,14.4,21.7,66.3,,,,,,,68.5
1994-95,,28.3,25.6,61.8,41.4,3.7,12.0,31.1,14.2,21.6,65.7,,,,,,,69.0
