Season,Teams,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
2023-24,362,31.2,26.2,58.7,44.6,7.5,21.9,34.1,13.8,19.2,71.8,35.5,13.4,6.6,3.4,11.8,16.9,73.6
2022-23,363,32.9,25.7,57.7,44.5,7.4,21.6,34.2,13.0,18.1,71.5,34.8,13.2,6.5,3.2,12.5,16.9,71.7
2021-22,358,32.0,25.5,57.9,44.1,7.4,21.9,33.9,12.5,17.5,71.6,35.1,13.1,6.6,3.3,12.6,16.6,71.0
2020-21,347,23.7,25.7,58.1,44.2,7.4,21.7,34.0,12.9,18.3,70.9,35.4,13.4,6.5,3.2,13.2,17.3,71.7
2019-20,350,31.4,25.3,57.9,43.8,7.3,21.7,33.5,13.3,18.8,70.8,35.5,13.1,6.4,3.2,13.2,17.6,71.2
2018-19,351,33.0,25.7,58.0,44.4,7.8,22.4,34.5,13.5,19.1,70.6,35.4,13.4,6.3,3.4,12.9,17.8,72.7
2017-18,351,32.9,26.1,58.3,44.7,7.7,21.9,35.2,13.9,19.6,71.3,35.5,13.7,6.2,3.4,12.9,18.1,73.8
2016-17,347,32.8,25.7,58.0,44.4,7.4,21.1,35.2,14.5,20.5,70.4,35.7,13.6,6.2,3.4,13.0,18.8,73.4
2015-16,346,32.7,25.5,58.0,44.0,7.1,20.5,34.7,14.9,21.3,69.9,36.2,13.4,6.2,3.5,12.6,19.3,73.0
2014-15,345,33.1,23.6,54.3,43.5,6.4,18.6,34.5,14.0,20.2,69.2,34.3,12.6,6.3,3.5,12.5,18.2,67.6
2013-14,345,32.7,24.5,55.4,44.2,6.3,18.2,34.6,15.7,22.4,69.8,34.8,12.8,6.2,3.7,12.3,19.1,71.0
2012-13,345,32.5,23.8,55.0,43.3,6.2,18.1,34.1,13.7,19.8,69.3,34.6,12.8,6.7,3.5,13.3,17.7,67.5
2011-12,338,32.5,24.0,55.0,43.6,6.2,18.1,34.4,13.9,20.1,69.1,34.5,12.9,6.6,3.4,13.5,18.1,68.0
2010-11,335,32.3,24.1,55.3,43.7,6.3,18.2,34.5,14.5,20.9,69.3,34.8,13.0,6.5,3.5,13.5,18.7,69.1
2009-10,334,32.2,24.3,55.7,43.6,6.3,18.2,34.3,14.5,21.0,68.9,35.2,13.1,6.7,3.5,13.7,18.6,69.3
2008-09,330,32.1,24.3,55.5,43.8,6.3,18.3,34.4,14.0,20.2,69.0,34.8,13.2,6.7,3.3,13.9,18.4,68.8
2007-08,328,31.9,24.5,55.4,44.1,6.7,19.1,35.2,13.9,20.2,69.1,34.6,13.5,6.8,3.4,14.4,18.6,69.6
2006-07,325,31.7,24.4,55.2,44.3,6.6,18.9,35.0,14.0,20.3,69.0,34.4,13.6,6.8,3.3,14.5,18.7,69.5
2005-06,326,30.1,24.4,55.6,43.9,6.4,18.4,34.9,13.9,20.1,69.1,34.7,13.7,7.1,3.3,14.7,18.4,69.2
2004-05,326,29.9,24.4,55.7,43.9,6.4,18.3,34.7,14.0,20.4,68.7,34.9,13.7,7.2,3.3,14.7,18.6,69.2
2003-04,326,29.7,24.5,55.9,43.8,6.3,18.3,34.6,14.3,20.7,68.8,35.1,13.7,7.2,3.2,14.9,19.0,69.6
2002-03,325,29.7,24.8,56.4,44.0,6.3,18.1,34.8,14.4,20.7,69.4,35.1,13.8,7.2,3.3,14.9,19.1,70.2
2001-02,321,30.2,25.1,57.2,43.8,6.3,18.3,34.6,14.8,21.5,69.0,35.9,13.9,7.3,3.4,15.1,19.2,71.3
2000-01,318,29.8,25.0,56.8,44.0,6.1,17.7,34.6,15.4,22.4,68.5,35.9,13.9,7.1,3.3,15.2,19.9,71.5
1999-00,318,30.0,25.0,57.4,43.5,6.1,17.7,34.4,14.5,21.2,68.1,36.3,14.0,7.6,3.4,15.8,18.9,70.5
1998-99,310,29.1,24.8,57.0,43.6,5.9,17.4,34.2,14.7,21.6,67.8,36.1,13.9,7.8,3.3,16.0,19.0,70.3
1997-98,306,30.3,25.3,57.7,43.9,6.0,17.4,34.4,14.9,22.0,67.5,36.4,14.0,7.6,3.2,15.9,19.4,71.4
